seller_id,total_orders,total_revenue
06a2c3af7b3aee5d69171b0e14f0ee87,389,48690.23
850f4f8af5ea87287ac68de36e29107f,186,48672.64
966cb4760537b1404caedd472cc610a5,67,48045.11
b33e7c55446eabf8fe1a42d037ac7d6d,149,47477.15
712e6ed8aa4aa1fa65dab41fed5737e4,77,47334.63
634964b17796e64304cadf1ad3050fb7,265,45918.25
7142540dd4c91e2237acb7e911c4eba2,316,45651.75
834f3294fba9f932f56edc879193f925,66,45046.82
dbc22125167c298ef99da25668e1011f,394,44905.77
e59aa562b9f8076dd550fcddf0e73491,69,44021.01
7299e27ed73d2ad986de7f7c77d919fa,335,43170.47
2eb70248d66e0e3ef83659f71b244378,187,43075.02
1835b56ce799e6a4dc4eddc053f04066,417,42926.57
7178f9f4dd81dcef02f62acdf8151e01,202,42038.17
c70c1b0d8ca86052f45a432a38b73958,260,42032.22
53e4c6e0f4312d4d2107a8c9cddf45cd,463,41929.93
0241d4d5d36f10f80c644447315af0bd,238,41308.94
c3867b4666c7d76867627c2f7fb22e21,228,41064.44
1554a68530182680ad5c8b042c3ab563,246,40691.47
2528513dd95219a6013d4d05176e391a,160,40202.46
855668e0971d4dfd7bef1b6a4133b41b,300,40146.52
87142160b41353c4e5fca2360caf6f92,305,39795.0
e9bc59e7b60fc3063eb2290deda4cced,209,38662.59
88460e8ebdecbfecb5f9601833981930,246,38064.48
70a12e78e608ac31179aea7f8422044b,312,37451.55
9c0e69c7bf2619675bbadf47b43f655a,151,36970.31
1900267e848ceeba8fa32d80c1a5f5a8,406,36001.15
76d5af76d0271110f9af36c92573f765,128,35924.19
5c243662ce92d84573bfaff24c3e3700,98,35200.29
70eea00b476a314817cefde4aad4f89a,106,34967.31
d1c281d3ae149232351cd8c8cc885f0d,214,34952.37
7681ef142fd2c19048da7430856b5588,58,34408.86
d2374cbcbb3ca4ab1086534108cc3ab7,514,34017.45
59b22a78efb79a4797979612b885db36,125,33911.66
001cca7ae9ae17fb1caed9dfb1094831,195,33384.11
9f505651f4a6abe901a56cdc21508025,393,33175.5
a3a38f4affed601eb87a97788c949667,251,32966.19
0b90b6df587eb83608a64ea8b390cf07,163,32860.54
900ba814c251a692506d7834c1218441,86,32126.24
8b321bb669392f5163d04c59e235e066,930,31613.8
12b9676b00f60f3b700e83af21824c0e,133,31384.63
16090f2ca825584b5a147ab24aa30c86,398,31241.22
dc4a0fc896dc34b0d5bfec8438291c80,225,31095.98
004c9cd9d87a3c30c522c48c4fc07416,156,30436.02
c003204e1ab016dfa150abc119207b24,195,30329.23
897060da8b9a21f655304d50fd935913,304,30193.67
de23c3b98a88888289c6f5cc1209054a,161,29775.2
7e1fb0a3ebfb01ffb3a7dae98bf3238d,155,29757.2
1c68394e931a64f90ea236c5ea590300,142,29140.69
a416b6a846a11724393025641d4edd5e,157,28838.27
1a3df491d1c4f1589fc2b934ada68bf2,160,28168.37
612170e34b97004b3ba37eae81836b4c,107,27760.15
710e3548e02bc1d2831dfc4f1b5b14d4,131,26765.91
f45122a9ab94eb4f3f8953578bc0c560,184,25906.24
7ad32824caee82087b3e2e5f33b1bf32,147,25612.44
729f06993dac8e860d4f02d7088ca48a,94,25367.75
00ee68308b45bc5e2660cd833c3f81cc,135,25346.27
2b3e4a2a3ea8e01938cabda2a3e5cc79,52,25299.43
8f2ce03f928b567e3d56181ae20ae952,151,25082.95
8444e55c1f13cd5c179851e5ca5ebd00,92,25032.68
85d9eb9ddc5d00ca9336a2219c97bb13,499,24966.76
744dac408745240a2c2528fb1b6028f3,78,24858.78
06e5eefc71ec47ae763c5c6f8db7064f,90,24819.62
05ff92fedb5be47920fea08e501238b9,57,24472.89
59fb871bf6f4522a87ba567b42dafecf,123,24265.35
0dd184061fb0eaa7ca37932c68ab91c5,161,24224.67
f457c46070d02cadd8a68551231220dd,195,23911.15
bfd27a966d91cfaafdb25d076585f0da,114,23318.71
dc317f341ab0e22f39acbd9dbf9b4a1f,55,23208.36
48162d548f5b1b11b9d29d1e01f75a61,66,23147.47
